Starting Year,Rank,Team,Home: Total Games,Home: Total Attendance,Home: Avg Attendance,Home: % Capactiy,Away: Total Games,Away: Total Attendance,Away: Avg Attendance,Away: % Capactiy
2015,1,Bulls,41,"894,659","21,820",104.3,41,"18,156",94.5,82
2015,2,Cavaliers,41,"843,042","20,562",100,41,"18,910",98.2,82
2015,3,Mavericks,41,"825,901","20,143",104.9,41,"17,727",93.4,82
2015,4,Raptors,41,"812,863","19,825",100.1,41,"17,162",89.2,82
2015,5,NY Knicks,41,"812,292","19,812",100,41,"18,440",96,82
2015,6,Heat,41,"809,350","19,740",100.7,41,"18,044",93.9,82
2015,7,Warriors,41,"803,436","19,596",100,41,"19,134",100.5,82
2015,8,Trail Blazers,41,"794,085","19,367",99.6,41,"17,703",93.3,82
2015,9,Jazz,41,"791,489","19,304",97,41,"17,378",91.6,82
2015,10,Clippers,41,"786,910","19,192",100.7,41,"17,792",93.6,82
2015,11,Lakers,41,"778,877","18,997",99.7,41,"19,149",100.9,82
2015,12,Spurs,41,"756,445","18,449",99.3,41,"17,938",94.4,82
2015,13,Celtics,41,"749,076","18,270",98.1,41,"17,439",90.5,82
2015,14,Thunder,41,"746,323","18,203",100,41,"18,258",95.6,82
2015,15,Rockets,41,"737,244","17,981",99.7,41,"17,740",93.3,82
2015,16,Wizards,41,"725,426","17,693",87.3,41,"17,787",92.4,82
2015,17,Magic,41,"719,275","17,543",93.1,41,"17,175",89.2,82
2015,18,Hornets,41,"716,894","17,485",91.7,41,"17,784",92.4,82
2015,19,Kings,41,"707,526","17,256",99.7,41,"17,355",91,82
2015,20,Suns,41,"701,405","17,107",92.9,41,"16,881",88.7,82
2015,21,Pacers,41,"690,733","16,847",92.7,41,"17,851",92.3,82
2015,22,Hawks,41,"690,150","16,832",89.9,41,"17,611",91,82
2015,23,Pelicans,41,"688,549","16,793",97.7,41,"17,851",93.6,82
2015,24,Grizzlies,41,"684,603","16,697",92.2,41,"17,589",92.1,82
2015,25,Pistons,41,"677,138","16,515",74.8,41,"17,814",93,82
